Country,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
Afghanistan,2118840,1723653,1353036,1073635,849671,666234,512957,390020,237620,131419,82039
Albania,208481,189897,187770,193838,213826,200676,154754,113826,103887,81928,66851
Algeria,3597149,3059980,2478155,2109607,1795257,1455757,1223964,802465,611473,468186,458249
Andorra,0,0,0,0,0,0,0,0,0,0,0
Angola,1670423,1390399,1100539,866074,702744,560601,447937,263061,183853,114684,80925
Antigua+Barbuda,7219,6073,7530,8741,6348,4888,3531,1951,1818,1335,1474
Argentina,3189089,3222069,2693223,2359742,2192512,2031042,1815418,1513164,1173119,873678,1183995
Armenia,240311,193937,165752,167881,207441,209124,143832,97386,54098,89449,77284
Australia,1753076,1574158,1655519,1559507,1569432,1451868,1281614,1153780,843696,628870,938120
Austria,593649,547163,602649,712467,702382,599792,475128,441928,433080,322041,438052
Azerbaijan,828679,668863,624390,642268,676792,527409,340050,179561,120282,140470,111549
Bahamas,31643,26781,28555,26196,26252,21261,16531,12016,8218,6038,5859
Bahrain,192439,147090,119751,92377,69274,53139,24753,12861,8752,5991,4283
Bangladesh,13502354,11874132,9925629,8969206,7282178,5050079,3252938,2863889,2220065,1476698,1560921
Barbados,19170,18835,20325,19694,20793,19459,16082,13331,9668,7637,9620
Belarus,751200,677662,654012,639860,729628,724269,575604,431354,274324,319226,334914
Belgium,737831,740680,762903,798767,816062,758201,664553,597500,431389,395558,623446
Belize,27537,23155,21163,17846,14835,10994,7819,5331,3496,2449,2242
Benin,666630,553703,457928,378999,304624,237451,182581,135974,102133,59468,43787
Bhutan,75522,60504,46755,41023,29709,24817,17094,13407,9766,6723,6950
Bolivia,801148,696927,578573,479994,401054,341844,294904,222272,183881,128059,159190
Bosnia+Herzegovina,245154,244906,248928,241491,278138,257797,234907,177023,114403,136883,127440
Botswana,205171,165477,123260,95191,77289,64786,52025,32791,23707,15176,10640
Brazil,17682361,16068734,14173945,13168385,12039854,9936178,8028585,5972819,4171992,3046869,3203775
Brunei Darussalam,39153,36326,33111,28886,23285,18401,12488,7152,4181,3101,2665
Bulgaria,481721,541234,537130,490995,490348,500380,502487,488355,354155,274690,323768
Burkina Faso,1147328,926910,723767,582628,453909,349957,258934,190190,131555,73358,40978
Burundi,656644,477743,347470,323057,281533,244808,174989,101793,69721,45710,38011
Cambodia,1685309,647899,827098,758636,685311,487831,409915,269052,181095,110767,78306
Cameroon,1563560,1223080,950296,741423,581758,458190,369761,283843,205231,132593,100336
Canada,2527703,2387788,2345490,2420445,2790727,2626521,2240138,1923577,1373823,989319,1518332
Cape Verde,42595,32102,26153,24505,23227,16307,12019,5512,5600,6285,6431
