Country,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
Afghanistan,0.000194292,0.00028732,0.000401363,0.000692168,0.001177353,0.001878714,0.003164442,0.005154935,0.008167611,0.012249129,0.020580182
Albania,0.0000222,0.0000264,0.0000362,0.0000547,0.0000961,0.00017361,0.000374894,0.000722062,0.001453618,0.002641658,0.006971713
Algeria,0.0000425,0.0000583,0.0000813,0.000132269,0.000219254,0.000366064,0.000698808,0.001171205,0.002045146,0.003295921,0.010091989
Andorra,0,0,0,0,0,0,0,0,0,0,0
Angola,0.000178901,0.000255805,0.000375519,0.000577909,0.000934056,0.001531977,0.002642658,0.004194861,0.006916895,0.010836659,0.020334212
Antigua+Barbuda,0.0000836,0.0000766,0.0000873,0.000142872,0.000231238,0.000359264,0.000655123,0.000930158,0.00149026,0.003054023,0.009286752
Argentina,0.0000669,0.0000911,0.000143407,0.000225422,0.000466423,0.000810832,0.001478869,0.002476123,0.004153106,0.006841547,0.020760061
Armenia,0.0000269,0.0000404,0.0000677,0.0000977,0.000161602,0.000280385,0.000572469,0.001009755,0.002159808,0.003449231,0.008684769
Australia,0.0000144,0.0000214,0.000035,0.0000565,0.000107988,0.000202062,0.000402669,0.000800053,0.001537486,0.002823009,0.009587042
Austria,0.00000716,0.0000104,0.0000188,0.0000357,0.0000769,0.000170275,0.000387308,0.000730041,0.001072429,0.00173307,0.005384538
Azerbaijan,0.000072,0.0000874,0.000113688,0.00015671,0.000253434,0.00040943,0.000747666,0.001230352,0.002048685,0.003354907,0.007033593
Bahamas,0.00011437,0.000167019,0.000172148,0.000205329,0.000307398,0.000434597,0.000619773,0.001102014,0.001973771,0.003553325,0.010304937
Bahrain,0.0000275,0.0000334,0.0000504,0.0000852,0.000164334,0.000332503,0.000613904,0.001265404,0.002645265,0.003943417,0.011915612
Bangladesh,0.0000914,0.000142734,0.000198209,0.000343044,0.000578087,0.001022176,0.002023167,0.003623635,0.006898082,0.010787129,0.02169452
Barbados,0.0000742,0.0000992,0.000110946,0.000173601,0.000262869,0.00037146,0.000612633,0.000981845,0.001721809,0.003319549,0.012998551
Belarus,0.0000509,0.0000854,0.000123941,0.000181784,0.000266893,0.000370028,0.000544461,0.00068935,0.00100342,0.001499037,0.002557933
Belgium,0.0000122,0.0000192,0.0000377,0.0000713,0.00016304,0.00036698,0.000716064,0.00122621,0.002134503,0.003764452,0.012576034
Belize,0.000133012,0.000161327,0.000207992,0.000332187,0.000566367,0.000832636,0.001466899,0.002377946,0.004331164,0.007477486,0.020790673
Benin,0.000229462,0.000319077,0.000442134,0.000723481,0.001184755,0.001912377,0.003053166,0.005083239,0.008935385,0.013538888,0.026508576
Bhutan,0.0000808,0.000129192,0.000189358,0.000320082,0.000561463,0.000974686,0.001957679,0.003444122,0.006351713,0.010582332,0.024143742
Bolivia,0.0000818,0.000119286,0.000173669,0.000268244,0.000457417,0.000701,0.001277373,0.002207429,0.004240699,0.007663774,0.02526542
Bosnia+Herzegovina,0.0000118,0.0000171,0.0000302,0.0000645,0.00011861,0.000203876,0.000478779,0.000959908,0.00170643,0.002924175,0.005091868
Botswana,0.000248031,0.000367915,0.000529211,0.000777524,0.001164083,0.001735653,0.003039923,0.004547958,0.007704849,0.011101929,0.021790904
Brazil,0.0000691,0.0000997,0.000149827,0.000232984,0.000409274,0.00068177,0.001147374,0.002002859,0.003448238,0.005844895,0.017861971
Brunei Darussalam,0.000046,0.0000606,0.0000855,0.000137359,0.000228531,0.000422296,0.000914344,0.001892158,0.003954736,0.00702728,0.018479826
Bulgaria,0.0000363,0.0000526,0.0000891,0.000156371,0.000264016,0.000434652,0.00068584,0.001116738,0.001733367,0.002690257,0.006465324
Burkina Faso,0.00022662,0.000307884,0.000429455,0.000647349,0.001046654,0.001643503,0.002568731,0.004277943,0.007675007,0.011639953,0.022459689
Burundi,0.000231045,0.00032438,0.000498875,0.000747108,0.0011696,0.001959213,0.003226736,0.00512287,0.008810172,0.014388208,0.02421343
Cambodia,0.000185826,0.000246165,0.000304572,0.000468781,0.000754165,0.00123542,0.002355772,0.004007062,0.007256543,0.012168823,0.025317162
Cameroon,0.000233849,0.00032211,0.000440477,0.000709601,0.001158717,0.001899357,0.003081463,0.005264375,0.009381662,0.014548985,0.028417762
Canada,0.0000123,0.0000179,0.0000316,0.0000533,0.000108366,0.000217228,0.000389066,0.000839254,0.001687474,0.003159161,0.010007098
Cape Verde,0.000114162,0.000156868,0.000224403,0.00037078,0.000577425,0.000959437,0.001656177,0.002755697,0.004467636,0.007687634,0.019549701
Central African Rep.,0.000283812,0.000408698,0.000622575,0.000997929,0.001565687,0.002503968,0.004249401,0.006533572,0.010681174,0.015962783,0.02492979
Chad,0.000218592,0.000308608,0.000422768,0.000687604,0.001158098,0.001848143,0.00300987,0.005143534,0.00916114,0.01401542,0.027332918
Chile,0.0000198,0.0000298,0.0000483,0.0000777,0.000151614,0.000261315,0.000499042,0.001028332,0.001983945,0.003769819,0.013079999
China,0.0000214,0.0000279,0.0000496,0.0000953,0.00018555,0.000350244,0.00087909,0.00191651,0.00396725,0.007719157,0.021059773
Colombia,0.0000332,0.00004,0.0000571,0.0000898,0.000167651,0.000298023,0.000585726,0.001155939,0.002484799,0.004655677,0.014293866
Comoros,0.000158991,0.000236313,0.000348324,0.000523087,0.000799355,0.001335978,0.002265888,0.00358344,0.006249315,0.010628417,0.019993456
