Country,MMM Initial O3 [ppb],,,CESM2 Initial O3 [ppb],GFDL Initial O3 [ppb],GISS Initial O3 [ppb],HadGEM Initial O3 [ppb],MIROC Initial O3 [ppb]
Afghanistan,56.70,,,58.98,52.44,59.58,58.71,53.78
Albania,45.95,,,49.45,43.47,49.62,45.33,41.90
Algeria,48.31,,,49.51,44.77,48.71,52.53,46.02
Andorra,43.80,,,47.19,42.15,45.33,43.87,40.47
Angola,44.15,,,45.22,43.26,48.25,47.95,36.06
Antigua+Barbuda,31.00,,,30.24,31.24,28.37,35.48,29.68
Argentina,30.59,,,31.25,29.18,28.06,32.31,32.15
Armenia,48.63,,,49.19,46.94,51.04,47.68,48.30
Australia,29.46,,,30.18,27.86,29.01,31.07,29.20
Austria,41.28,,,43.32,37.55,46.55,37.25,41.70
Azerbaijan,44.45,,,45.57,42.80,43.93,45.06,44.87
Bahamas,42.43,,,43.51,42.43,40.04,46.55,39.63
Bahrain,71.36,,,89.38,62.76,63.14,67.92,73.61
Bangladesh,67.47,,,63.19,62.05,76.75,72.37,62.98
Barbados,28.59,,,27.05,29.03,25.46,33.40,27.98
Belarus,36.52,,,37.88,36.78,38.53,31.79,37.60
Belgium,37.75,,,37.34,33.97,44.06,34.80,38.56
Belize,33.85,,,35.45,32.68,28.60,44.01,28.49
Benin,42.14,,,40.05,45.48,40.39,51.09,33.69
Bhutan,62.62,,,63.96,59.32,64.22,65.51,60.06
Bolivia,28.68,,,24.81,28.45,33.15,30.34,26.66
Bosnia+Herzegovina,41.84,,,45.94,39.66,43.91,39.85,39.84
Botswana,40.05,,,38.61,39.09,41.19,45.20,36.17
Brazil,34.89,,,34.90,32.69,33.12,40.09,33.63
Brunei Darussalam,28.66,,,31.31,26.55,22.19,38.86,24.40
Bulgaria,41.45,,,44.64,39.67,41.36,40.98,40.59
Burkina Faso,36.66,,,36.96,41.85,23.76,49.61,31.12
Burundi,40.65,,,39.70,46.43,36.23,47.66,33.23
Cambodia,42.90,,,45.98,43.94,39.41,48.99,36.16
Cameroon,36.31,,,35.15,40.30,29.97,46.17,29.96
Canada,40.49,,,42.75,39.63,45.85,31.99,42.23
Cape Verde,36.91,,,38.60,39.65,31.51,42.65,32.13
Central African Rep.,44.49,,,45.07,47.03,48.80,48.60,32.96
Chad,40.90,,,41.03,44.16,29.67,54.85,34.80
Chile,33.29,,,39.27,30.03,30.03,33.74,33.36
China,51.97,,,48.05,40.69,62.61,48.64,59.86
Colombia,28.97,,,33.47,29.74,15.21,39.89,26.54
Comoros,28.30,,,23.96,30.52,26.55,32.96,27.50
Congo,34.77,,,27.73,39.00,37.79,41.77,27.54
Cook Islands,14.87,,,11.94,14.04,11.93,19.16,17.26
Costa Rica,30.24,,,32.57,30.23,25.04,37.90,25.44
Croatia,42.06,,,45.77,39.17,44.21,40.54,40.59
Cuba,38.91,,,40.64,39.44,35.98,44.91,33.58
Cyprus,49.75,,,51.16,48.78,48.55,52.67,47.58
Czech Republic,39.36,,,40.27,34.88,45.23,36.00,40.41
Cote dIvoire,36.23,,,32.74,36.42,37.63,43.22,31.12
Dem.Peo.Rep.of Korea,49.28,,,51.45,43.60,59.06,41.45,50.83
Dem.Rep.of the Congo,44.57,,,41.77,47.13,50.88,49.05,34.00
Denmark,37.11,,,35.64,38.07,41.36,33.13,37.34
Djibouti,40.84,,,40.25,39.17,35.30,50.53,38.94
Dominica,30.60,,,29.08,30.65,28.09,35.18,29.99
Dominican Republic,36.92,,,39.37,35.55,33.35,44.21,32.09
Ecuador,30.04,,,33.71,27.78,20.54,40.73,27.46
