Country,PopTimesBaseMort,InitialMort
Afghanistan,58975.39699,5068.178548
Albania,10914.82922,616.0287117
Algeria,67040.76026,4222.603776
Andorra,0,0
Angola,17755.30879,912.464614
Antigua+Barbuda,130.4985902,1.80174288
Argentina,85681.89393,1079.804343
Armenia,11552.70282,737.8851929
Australia,39950.57711,371.9820605
Austria,24085.84401,1042.908218
Azerbaijan,36297.85978,1895.565146
Bahamas,623.6495394,29.03951506
Bahrain,626.3070242,78.10290885
Bangladesh,265449.9092,30414.85755
Barbados,641.3696798,4.31874866
Belarus,67918.76684,2020.748113
Belgium,26330.50255,876.1316458
Belize,241.8774201,5.335042291
Benin,8017.28437,366.693394
Bhutan,845.1129023,86.01920272
Bolivia,14029.86929,98.53587343
Bosnia+Herzegovina,18828.3089,845.2516144
Botswana,1832.06482,72.98208347
Brazil,278114.9552,6971.02419
Brunei Darussalam,383.6929026,2.672587755
Bulgaria,56574.24416,2477.199294
Burkina Faso,11945.5435,360.2625908
Burundi,7760.25894,322.2549855
Cambodia,18043.33432,863.7661742
Cameroon,17863.51069,520.7835031
Canada,67643.22791,2778.888508
Cape Verde,538.1018551,16.60923302
Central African Rep.,7105.520169,371.9843211
Chad,10042.68243,424.1635083
Chile,21947.37478,448.5590488
China,3447949.001,251921.5955
Colombia,42074.7871,330.6969407
Comoros,611.2688938,3.599824973
Congo,5619.528225,138.8837176
Cook Islands,0,0
Costa Rica,5341.502045,61.82564645
Croatia,21286.73348,968.660103
Cuba,32428.9042,1186.624295
Cyprus,1920.921846,128.6201816
Czech Republic,43524.99189,1648.05178
Cote dIvoire,22179.36829,641.3175607
Dem.Peo.Rep.of Korea,71704.93311,4708.624012
Dem.Rep.of the Congo,68424.99136,3596.55406
Denmark,11100.93374,349.0869744
Djibouti,957.6021791,40.28036154
Dominica,0,0
Dominican Republic,20594.03209,636.1606693
Ecuador,13709.02211,150.8439656
Egypt,256972.098,19825.55916
El Salvador,8825.505075,335.0483288
Equatorial Guinea,590.986729,7.995925469
Eritrea,4991.783232,251.7972205
Estonia,5271.850462,133.5362202
Ethiopia,57794.56612,2012.72814
Fiji,2134.765442,0
Finland,16185.08557,390.7772791
France,119954.8457,4951.34815
Gabon,2138.63408,18.63032028
Gambia,1685.412946,55.00502122
Georgia,26193.02541,1418.544431
Germany,268538.0913,9634.192578
Ghana,29252.70618,1201.402725
Greece,41065.91698,2481.24762
Grenada,178.5560679,1.603861422
Guatemala,11023.20553,508.2790045
Guinea,13425.48702,499.0099302
Guinea-Bissau,2190.120892,76.77513849
Guyana,1531.730808,0
Haiti,20548.52635,774.3483435
Honduras,10563.94213,229.4451339
Hungary,48140.81163,1786.560811
Iceland,590.175795,18.70162119
India,2158319.085,252000.5009
Indonesia,507411.6393,35477.66055
Isl.Rep.of Iran,106294.2355,9238.586608
Iraq,28229.7056,2555.288728
Ireland,7669.649038,285.5965148
Israel,9347.510803,723.6199602
